Date,Item_Name,Consumption,Stock_Before_Delivery,Delivery_Amount,Previous_Stock,Reasoning
2025-08-19,House Blend Coffee,1.4000000000000004,12.1,0.0,13.5,"Started with 13.5, no deliveries, ended with 12.1"
2025-08-20,House Blend Coffee,1.299999999999999,10.8,0.0,12.1,"Started with 12.1, no deliveries, ended with 10.8"
2025-08-21,House Blend Coffee,1.4000000000000004,9.4,0.0,10.8,"Started with 10.8, no deliveries, ended with 9.4"
2025-08-22,House Blend Coffee,1.3000000000000007,8.1,0.0,9.4,"Started with 9.4, no deliveries, ended with 8.1"
2025-08-23,House Blend Coffee,1.3999999999999995,6.7,0.0,8.1,"Started with 8.1, no deliveries, ended with 6.7"
2025-08-11,Vanilla Syrup,0.40000000000000036,7.6,0.0,8.0,"Started with 8.0, no deliveries, ended with 7.6"
2025-08-12,Vanilla Syrup,0.5,7.1,0.0,7.6,"Started with 7.6, no deliveries, ended with 7.1"
2025-08-13,Vanilla Syrup,0.2999999999999998,6.8,0.0,7.1,"Started with 7.1, no deliveries, ended with 6.8"
2025-08-14,Vanilla Syrup,0.5,6.3,0.0,6.8,"Started with 6.8, no deliveries, ended with 6.3"
2025-08-15,Vanilla Syrup,0.39999999999999947,5.9,0.0,6.3,"Started with 6.3, no deliveries, ended with 5.9"
2025-08-16,Vanilla Syrup,0.5,5.4,0.0,5.9,"Started with 5.9, no deliveries, ended with 5.4"
2025-08-17,Vanilla Syrup,0.40000000000000036,5.0,0.0,5.4,"Started with 5.4, no deliveries, ended with 5.0"
2025-08-18,Vanilla Syrup,0.40000000000000036,4.6,0.0,5.0,"Started with 5.0, no deliveries, ended with 4.6"
2025-08-19,Vanilla Syrup,0.39999999999999947,4.2,0.0,4.6,"Started with 4.6, no deliveries, ended with 4.2"
2025-08-20,Vanilla Syrup,0.40000000000000036,3.8,0.0,4.2,"Started with 4.2, no deliveries, ended with 3.8"
2025-08-21,Vanilla Syrup,0.5,3.3,0.0,3.8,"Started with 3.8, no deliveries, ended with 3.3"
2025-08-22,Vanilla Syrup,0.3999999999999999,2.9,0.0,3.3,"Started with 3.3, no deliveries, ended with 2.9"
2025-08-23,Vanilla Syrup,0.5,2.4,0.0,2.9,"Started with 2.9, no deliveries, ended with 2.4"
2025-08-11,Whole Milk,1.8000000000000007,13.2,0.0,15.0,"Started with 15.0, no deliveries, ended with 13.2"
2025-08-12,Whole Milk,2.0999999999999996,11.1,0.0,13.2,"Started with 13.2, no deliveries, ended with 11.1"
2025-08-13,Whole Milk,2.299999999999999,8.8,0.0,11.1,"Started with 11.1, no deliveries, ended with 8.8"
2025-08-14,Whole Milk,2.3000000000000007,6.5,0.0,8.8,"Started with 8.8, no deliveries, ended with 6.5"
2025-08-15,Whole Milk,2.3,4.2,0.0,6.5,"Started with 6.5, no deliveries, ended with 4.2"
2025-08-16,Whole Milk,1.6999999999999993,2.5,16.0,4.2,"Started with 4.2, received 16.0 delivery, ended with 18.5"
2025-08-17,Whole Milk,2.3000000000000007,16.2,0.0,18.5,"Started with 18.5, no deliveries, ended with 16.2"
2025-08-18,Whole Milk,2.299999999999999,13.9,0.0,16.2,"Started with 16.2, no deliveries, ended with 13.9"
2025-08-19,Whole Milk,2.3000000000000007,11.6,0.0,13.9,"Started with 13.9, no deliveries, ended with 11.6"
2025-08-20,Whole Milk,2.299999999999999,9.3,0.0,11.6,"Started with 11.6, no deliveries, ended with 9.3"
2025-08-21,Whole Milk,2.3000000000000007,7.0,0.0,9.3,"Started with 9.3, no deliveries, ended with 7.0"
2025-08-22,Whole Milk,2.3,4.7,0.0,7.0,"Started with 7.0, no deliveries, ended with 4.7"
2025-08-23,Whole Milk,2.3000000000000003,2.4,0.0,4.7,"Started with 4.7, no deliveries, ended with 2.4"
