DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,Price purchased,Price sold,Supplier,Quantity in warehouse,
3/21,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,2,,,,,,,
,Tomato,grapevine ,4,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,3,,,,,,,
,Peanut Butter,64oz,LOW,,,,,,,
,Bread,,2,,,,,,,
,Lemon Juice,bottle,,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,,,,,,,,
,2 fold napkins,,,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,,,,,,,,,
,Bleach,,,,,,,,,
,Gloves Medium,,,,,,,,,
,Gloves Large,,,,,,,,,
,Cafiza,bucket,,,,,,,,
,Rinza,bottle,,,,,,,,
,Grindz,,,,,,,,,
,Sanitizer,,,,,,,,,
,Thieves Solution,,,,,,,,,
,Bleach,,,,,,,,,
,Paper Towel,roll,,,,,,,,
,Toilet Paper,roll,,,,,,,,
,Toilet seat cover,box,,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,,,,,,,,
,Cold brew bag,individual,,,,,,,,
,Silverware,,,,,,,,,
,Cup Sleeves,,,,,,,,,
,Cup Carriers,bag,,,,,,,,
,Pastry Bag,,,,,,,,,
,To-Go Box,bags,,,,,,,,
,To-Go Bag,box,,,,,,,,
,Straws,box,,,,,,,,
,Stickers,roll,,,,,,,,
,Stir Sticks,packs,,,,,,,,
,Stoppers,packs,,,,,,,,
,Matcha bowl,individual,,,,,,,,
,Matcha whisk,individual,,,,,,,,
,Large coffee filter,box,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,,,,,
3/22,MILKS,,,,,,,,,
,Whole Milk,,7,,,,,,,
,Low-Fat,,4,,,,,,,
,Half n Half,,7,,,,,,,
,Heavy Cream,,8,,,,,,,
,Oat,,18,,,,,,,
,Almond,,28,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate,bottle,2,,,,,,12,
,Homemade Vanilla,bottle,7,,,,,,,
,Vanilla Creme,bottle,3,,,,,,0,
,Caramel,bottle,6,,,,,,7,
,Strawberry,bottle,5,,,,,,4,
,Pistachio,bottle,3,,,,,,19,
,Strawberry,bottle,,,,,,,8,
,,,,,,,,,,
,,,,,,,,,9,
,,,,,,,,,,
,Irish Cream,bottle,1,,,,,,11,
,Ube,bottle,,,,,,,3,
,Rose,bottle,1,,,,,,3,
,Gingerbread,bottle,,,,,,,4,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1/2,,,,,,,
,Chai Masala,bottle,3,,,,,,7,
,Turmeric Ginger,carton,9,,,,,,,
,English Breakfast,bag,1,,,,,,7,
,Earl Grey,bag,1,,,,,,1,
,Pineapple Papaya,bag,1,,,,,,1,
,Moroccan Mint,bag,3,,,,,,2,
,Jasmine,bag,5,,,,,,1,
,"Chai, caffeine free",bag,3,,,,,,4,
,Chamomint,bag,6,,,,,,1,
,Crimson berry ,,1/2,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1+1/2,,,,,,4,
,Raisins,bags,1/2,,,,,,2,
,Walnuts,Bags,,,,,,,3,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,OUT,,,,,,,
,Stevia,Box,1,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1,,,,,,1,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16 oz Cups,box,OUT,,,,,,,
,Cold 14 oz Cups,box,1,,,,,,,
,Cold 12 oz,,,,,,,,6,
,Cold Lids,sleeve,6,,,,,,,
,Hot 12 oz Cups,box,2,,,,,,,
,Hot 12oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,2,,,,,,,
,Hot 8oz Lids,box,2,,,,,,5,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,16,,,,,,,
,San Pellegrino Cans,box,27,,,,,,9,
,Fiji Small,6-pack,1,,,,,,0,
,Fiji Large,individual,3,,,,,,0,
,Lychee Soda,can,12,,,,,,,
,Yuzu Ginger Soda,can,15,,,,,,,
,Hibiscus Rose Soda,can,19,,,,,,,
,Cucumber Soda,can,3,,,,,,,
,Gato P,,,,,,,,,
,Gato W,,,,,,,,,
,Gato peanut,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,OUT,,,,,,,
,Tomato,grapevine ,2,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,3,,,,,,4,
,Peanut Butter,64oz,1 1/2,,,,,,,
,Bread,Loaf,2,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,,,,,,,,
,2 fold napkins,"""Roll""",8,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,Gallon,1,,,,,,,
,Bleach,Gallon,2,,,,,,1,
,Gloves Medium,Box,3,,,,,,1,
,Gloves Large,Box,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,1/2,,,,,,,
,Grindz,,5,,,,,,,
,Sanitizer,,1 1/2,,,,,,2,
,Thieves Solution,,1/2,,,,,,13,
,Bleach,,2,,,,,,4,
,Paper Towel,roll,14,,,,,,,
,Toilet Paper,roll,10,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,,,12,,,,,,4,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,,,,,,,2,
,Silverware,,1,,,,,,,
,Cup Sleeves,Box,1/4 box,,,,,,3,
,Cup Carriers,bag,1/2,,,,,,1,
,Pastry Bag,,80,,,,,,,
,To-Go Box,bag,1,,,,,,,
,To-Go Bag,box,1,,,,,,8,
,Straws,box,LOW,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,1.5,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,box,1,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
3/23,MILKS,,,,,,,,,
,Whole Milk,,1,,,,,,,
,Low-Fat,,3,,,,,,,
,Half n Half,,5,,,,,,,
,Heavy Cream,,6,,,,,,,
,Oat,,OUT,,,,,,,
,Almond,,OUT,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,2,,,,,,10,
,Homemade Vanilla,bottle,6,,,,,,,
,Vanilla Creme,bottle,3,,,,,,0,
,Caramel,bottle,6,,,,,,7,
,Strawberry,bottle,5,,,,,,4,
,Pistachio,bottle,3,,,,,,19,
,Strawberry,bottle,,,,,,,8,
,Dark chocolate syrup ,,2,,,,,,,
,,,,,,,,,9,
,,,,,,,,,,
,Irish Cream,bottle,1,,,,,,11,
,Ube,bottle,,,,,,,3,
,Rose,bottle,1,,,,,,3,
,Gingerbread,bottle,,,,,,,4,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1/2,,,,,,,
,Chai Masala,bottle,5,,,,,,7,
,Turmeric Ginger,carton,9,,,,,,,
,English Breakfast,bag,1,,,,,,7,
,Earl Grey,bag,1,,,,,,1,
,Pineapple Papaya,bag,1,,,,,,1,
,Moroccan Mint,bag,3,,,,,,2,
,Jasmine,bag,5,,,,,,1,
,"Chai, caffeine free",bag,3,,,,,,2,
,Chamomint,bag,6,,,,,,1,
,Crimson berry ,,1/2,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1+1/2,,,,,,4,
,Raisins,bags,1/2,,,,,,1,
,Walnuts,Bags,,,,,,,3,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,OUT,,,,,,,
,Stevia,Box,1,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1,,,,,,1,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16 oz Cups,box,OUT,,,,,,6,
,Cold 14 oz Cups,box,1,,,,,,,
,Cold Lids,sleeve,7,,,,,,,
,Hot 12 oz Cups,box,2,,,,,,,
,Hot 12oz Lids,box,2,,,,,,,
,Hot 8oz Cups,box,2,,,,,,,
,Hot 8oz Lids,box,2,,,,,,5,
,Cold 20 oz cups,Sleeve ,4,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,16,,,,,,,
,San Pellegrino Cans,box,27,,,,,,9,
,Fiji Small,6-pack,1,,,,,,0,
,Fiji Large,individual,Out,,,,,,0,
,Lychee Soda,can,12,,,,,,,
,Yuzu Ginger Soda,can,15,,,,,,,
,Hibiscus Rose Soda,can,19,,,,,,,
,Cucumber Soda,can,14,,,,,,,
,Gato Pistachios,,7,,,,,,,
,Gato W,,7,,,,,,,
,Gato peanut,,5,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,6,,,,,,,
,Cucumber,,15,,,,,,,
,Tomato,grapevine ,15,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,5,,,,,,4,
,Peanut Butter,64oz,1 1/2,,,,,,,
,Bread,Loaf,2,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,,,,,,,,
,2 fold napkins,"""Roll""",7,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,Gallon,1,,,,,,,
,Bleach,Gallon,2,,,,,,1,
,Gloves Medium,Box,3,,,,,,1,
,Gloves Large,Box,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,3,,,,,,,
,Grindz,,5,,,,,,,
,Sanitizer,,1 1/2,,,,,,2,
,Thieves Solution,,1/2,,,,,,13,
,Bleach,,2,,,,,,3,
,Paper Towel,roll,14,,,,,,,
,Toilet Paper,roll,10,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,,,12,,,,,,4,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,22,,,,,,2,
,Silverware,,1,,,,,,,
,Cup Sleeves,Box,1/4 box,,,,,,3,
,Cup Carriers,bag,1/2,,,,,,1,
,Pastry Bag,Box/individual,80,,,,,,,
,To-Go Box,bag,1,,,,,,,
,To-Go Bag,box,1,,,,,,8,
,Straws,box,LOW,,,,,,,
,Stickers,roll,4,,,,,,,
,Stir Sticks,Box,7,,,,,,,
,Stoppers,packs,3,,,,,,1.5,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
3/25,MILKS,,,,,,,,,
,Whole Milk,,6,,,,,,,
,Low-Fat,,9,,,,,,,
,Half n Half,,5,,,,,,,
,Heavy Cream,,9,,,,,,,
,Oat,,17,,,,,,,
,Almond,,20,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,,
,Dark Chocolate sauce,bottle,3,,,,,,5,
,Suggar free-Homemade Vanilla,bottle,5,,,,,,0,
,Homemade Vanilla,,,,,,,,,
,Vanilla ,bottle,,,,,,,9,
,Vanilla Creme,bottle,4,,,,,,4,
,Caramel,bottle,5,,,,,,16,
,Strawberry,bottle,4,,,,,,4,
,Pistachio,bottle,2,,,,,,19,
,,bottle,,,,,,,,
,Dark chocolate syrup ,Bottle,2,,,,,,10,
,,,,,,,,,,
,,,,,,,,,,
,Irish Cream,bottle,1,,,,,,10,
,Ube,bottle,,,,,,,3,
,Rose,bottle,1,,,,,,3,
,Gingerbread,bottle,,,,,,,4,
,,,,,,,,,,
,TEA,,,,,,,,,
,Matcha,bag,1/2,,,,,,0,
,Chai Masala,bottle,3,,,,,,5,
,Turmeric Ginger,carton,14,,,,,,0,
,English Breakfast,bag 1 lbs,1,,,,,,7,
,Earl Grey,bag 1 lbs,0,,,,,,1,
,Pineapple Papaya,bag 1 lbs,1,,,,,,1,
,Moroccan Mint,bag 1 lbs,1,,,,,,4,
,Jasmine,bag 1 lbs,2,,,,,,4,
,"Chai, caffeine free",bag 1 lbs,1,,,,,,2,
,"chai masala, caffeine free",bag 1 lbs,,,,,,,3,
,Chamomint,bag 1 lbs,2,,,,,,5,
,Crimson berry ,bag 1 lbs,0,backorder,,,,,0,
,,,,,,,,,,
,,,,,,,,,,
,DRY GOODS,,,,,,,,,
,Charcoal,bags 2lbs,1+1/2,,,,,,3,
,Raisins,bags 2lbs,1/2,,,,,,1,
,Walnuts,Bags 3 lbs,,,,,,,3,
,Pistachios,Bag,1,,,,,,,
,Cinnamon,,1,,,,,,,
,Cane Sugar Bulk,Bag,OUT,,,,,,,
,Stevia,Box ,1,,,,,,1,box of 800
,Raw Sugar,Box,1,,,,,,1,box of 500
,Splenda,Box,1,,,,,,1,
,,,,,,,,,,
,,,,,,,,,,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,box of 500,3,,,,,,,
,Cold 12-14 oz Cups,box of 500,1,4 sleeves,,,,,6,sleeves 50 ct
,Cold Lids 12-24,sleeve,7,,,,,,1,box 1000
,Hot 12 oz Cups,box of 600,1,,,,,,1,
,Hot 12-24oz Lids,box of 1000,2,1 sleeve,,,,,,
,Hot 8oz Cups,box of 600,2,,,,,,,
,Hot 8oz Lids,box,,,,,,,,
,Cold 20 oz cups,Sleeve ,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,16,1 box,,,,,,
,San Pellegrino Cans,individual,27,,,,,,54,
,Fiji Small,6-pack,1,,,,,,,
,Fiji Large,individual,10,,,,,,,
,Lychee Soda,can,6,,,,,,,
,Yuzu Ginger Soda,can,14,,,,,,,
,Hibiscus Rose Soda,can,16,,,,,,,
,Cucumber Soda,can,25,,,,,,,
,Gato Pistachios,,3,,,,,,,
,Gato Walnut,,10,,,,,,,
,Gato peanut,,0,,,,,,,
,Gato Almond,,8,,,,,,,
,Matcha bags,,,,,,,,,
,Limmu,12 oz,,,,,,,,
,Shanta,12 oz,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,4,,,,,,,
,Cucumber,,12,,,,,,,
,Tomato,grapevine ,12,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,4,,,,,,,
,Peanut Butter,64oz,3.5,,,,,,,
,Bread,Loaf,1,,,,,,,
,Lemon Juice,bottle,1,,,,,,4,
,,,,,,,,,,
,MISC cleaners,,,,,,,,,
,Scotch,,,,,,,,,
,2 fold napkins,"""Roll""",7,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,Gallon,1,,,,,,,
,Bleach,Gallon,2,,,,,,,
,Gloves Medium,Box,1.5,,,,,,,
,Gloves Large,Box,1,,,,,,,
,Cafiza,bucket,1,,,,,,,
,Rinza,bottle,3,,,,,,,
,Grindz,,5,,,,,,,
,Sanitizer,,1 1/2,,,,,,,
,Thieves Solution,,1/2,,,,,,,
,Bleach,,2,,,,,,,
,Paper Towel,roll,14,,,,,,,
,Toilet Paper,roll,10,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,,,12,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,22,,,,,,,
,Silverware,,1,,,,,,,
,Cup Sleeves,Box,1/4 box,,,,,,,
,Cup Carriers,bag,1/2,,,,,,,
,Pastry Bag,Box/individual,80,,,,,,,
,To-Go Box,bag,1,,,,,,,
,To-Go Bag,box,1,,,,,,,
,Straws,box,LOW,,,,,,,
,Stickers,roll,1,,,,,,3,
,Stir Sticks,Box,7,,,,,,8,
,Stoppers,packs,3,,,,,,,
,Matcha bowl,individual,2,,,,,,,
,Matcha whisk,individual,2,,,,,,,
,Large coffee filter,Sleeve/bag,2,,,,,,,
,,,,,,,,,,
,Beans,,,,,,,,,
,Limmu,,1 1/2,,,,,,,
,Shanta,,1,,,,,,,
,M,,,,,,,,,
,,,,,,,,,,
,-------------------------------------------,,,,,,,,,
DATE,Item ,"UNIT (box, sleeve, etc)",Quantity in store,,,,,,,
3/26,MILKS,,,,,,,,,
,Whole Milk,,9,,,,,,,
,Low-Fat,,9,,,,,,,
,Half n Half,,5,,,,,,,
,Heavy Cream,,9,,,,,,,
,Oat,,13,,,,,,,
,Almond,,16,,,,,,,
,,,,,,,,,,
,SYRUPS,,,,,,,,5,
,Dark Chocolate sauce,bottle,4,,,,,,0,
,Homemade Vanilla,bottle,5,,,,,,,
,Vanilla Creme,bottle,4,,,,,,9,
,Caramel,bottle,5,,,,,,4,
,Strawberry,bottle,4,,,,,,16,
,Pistachio,bottle,2,,,,,,4,
,,bottle,,,,,,,19,
,Dark chocolate syrup ,Bottle,2,,,,,,,
,,,,,,,,,10,
,,,,,,,,,,
,Irish Cream,bottle,1,,,,,,,
,Ube,bottle,,,,,,,10,
,Rose,bottle,1,,,,,,3,
,Gingerbread,bottle,,,,,,,3,
,,,,,,,,,4,
,TEA,,,,,,,,,
,Matcha,bag,LOW,,,,,,,
,Chai Masala,bottle,3,,,,,,0,
,Turmeric Ginger,carton,18,,,,,,5,
,English Breakfast,bag,1,,,,,,0,
,Earl Grey,bag,0,,,,,,7,
,Pineapple Papaya,bag,1,,,,,,1,
,Moroccan Mint,bag,1,,,,,,1,
,Jasmine,bag,2,,,,,,4,
,"Chai, caffeine free",bag,1,,,,,,4,
,Chamomint,bag,2,,,,,,2,
,Crimson berry ,,0,backorder,,,,,3,
,,,,,,,,,5,
,,,,,,,,,0,
,DRY GOODS,,,,,,,,,
,Charcoal,bags,1+1/2,,,,,,,
,Raisins,bags,1/2,,,,,,,
,Walnuts,Bags,,,,,,,3,
,Pistachios,Bag,1,,,,,,1,
,Cinnamon,,1,,,,,,3,
,Cane Sugar Bulk,Bag,1,,,,,,,
,Stevia,Box,1,,,,,,,
,Raw Sugar,Box,1,,,,,,,
,Splenda,Box,1,,,,,,1,box of 800
,White sugar bulk,,Out,,,,,,1,box of 500
,,,,,,,,,1,
,CUPS + LIDS,,,,,,,,,
,Cold 16-18 oz Cups,box of 500,3,,,,,,,
,Cold 12-14 oz Cups,box of 500,1,4 sleeves,,,,,,
,Cold Lids,sleeve,7,,,,,,,
,Hot 12 oz Cups,box of 600,1,,,,,,6,sleeves 50 ct
,Hot 12-24oz Lids,box of 1000,2,1 sleeve,,,,,1,box 1000
,Hot 8oz Cups,box of 600,2,,,,,,1,
,Hot 8oz Lids,box,,,,,,,,
,Cold 20 oz cups,Sleeve ,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GRAB & GO,,,,,,,,,
,San Pellegrino Bottles,bottles,16,1 box,,,,,,
,San Pellegrino Cans,box,27,,,,,,,
,Fiji Small,6-pack,5,,,,,,,
,Fiji Large,individual,15,,,,,,54,
,Lychee Soda,can,6,,,,,,1,box 12
,Yuzu Ginger Soda,can,13,,,,,,1,box 12
,Hibiscus Rose Soda,can,16,,,,,,,
,Cucumber Soda,can,25,,,,,,,
,Gato Pistachios,,3,,,,,,,
,Gato Walnut,,15,,,,,,,
,Gato peanut,,,,,,,,,
,Gato Almond,,3,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GROCERIES,,,,,,,,,
,Feta,tin,4,,,,,,,
,Cucumber,,12,,,,,,,
,Tomato,grapevine ,10,,,,,,,
,Greek Seasoning,,3,,,,,,,
,Olive Oil,16oz,1,,,,,,,
,Blueberries,,4,,,,,,,
,Peanut Butter,64oz,3.5,,,,,,,
,Bread,Loaf,1,,,,,,,
,Lemon Juice,bottle,1,,,,,,,
,,,,,,,,,,
,MISC cleaners,,,,,,,,4,
,Scotch,,,,,,,,,
,2 fold napkins,"""Roll""",7,,,,,,,
,3 fold napkins,,,,,,,,,
,Handsoap,Gallon,1,,,,,,,
,Bleach,Gallon,2,,,,,,,
,Gloves Medium,Box,1.5,,,,,,,
,Gloves Large,Box,1,,,,,,,
,Cafiza,bucket,1,,,,,,8,box 100
,Rinza,bottle,3,,,,,,8,box 100
,Grindz,,5,,,,,,,
,Sanitizer,,1 1/2,,,,,,,
,Thieves Solution,,1/2,,,,,,,
,Bleach,,2,,,,,,,
,Paper Towel,roll,5,,,,,,,
,Toilet Paper,roll,74,,,,,,,
,Toilet seat cover,box,1,,,,,,,
,,,,,,,,,,
,MISC,,,,,,,,,
,Teapot,individual,2,,,,,,,
,Cold brew bag,individual,22,,,,,,,
,Silverware,,1,,,,,,,
